city,lat,lng,max_temp,humidity,wind_speed,cloudiness,date,country
Curitibanos,-27.28,-50.58,62.33000000000004,63,2.9,100,1602967264,BR
Waipawa,-41.41,175.52,53.6,81,5.7,42,1602967264,NZ
Macomb,40.46,-90.67,69.99800000000002,22,10.8,1,1602967265,US
Inongo,-1.95,18.27,73.76000000000008,92,2.36,100,1602967265,CD
Praia,14.92,-23.51,80.6,83,3.1,75,1602967265,CV
Ambon City,-3.7,128.18,80.00600000000003,94,1.8,87,1602967266,ID
Suntar,62.14,117.63,14.84600000000005,96,1.06,0,1602967266,RU
Tselinnoye,53.08,85.67,45.248000000000026,65,5.44,100,1602967266,RU
Fort Nelson,58.81,-122.7,24.8,49,2.1,20,1602967267,CA
Kahului,20.89,-156.47,84.2,62,3.6,40,1602967172,US
Tomatlán,19.93,-105.25,89.49199999999999,59,3.91,91,1602967267,MX
Puri,19.8,85.85,80.6,94,3.16,40,1602967268,IN
Dukat,62.55,155.55,20.26400000000003,85,2.78,100,1602967268,RU
Beira,-19.84,34.84,73.4,83,3.6,20,1602967268,MZ
Ternate,0.8,127.4,79.88000000000005,84,6.44,100,1602967268,ID
Nakasongola,1.31,32.46,66.95600000000003,89,1.53,100,1602967269,UG
Wonthaggi,-38.6,145.59,51.998000000000026,67,5.91,86,1602967269,AU
Snåase,64.25,12.38,37.13000000000004,87,8.51,100,1602967269,NO
São Gabriel da Cachoeira,-0.13,-67.09,85.316,68,1.32,88,1602967269,BR
Buritis,-15.62,-46.42,85.38800000000005,41,2.8,40,1602967270,BR
Boguchany,58.38,97.45,40.24400000000007,91,2.58,100,1602967270,RU
Mathathane,-22.27,28.75,76.11800000000008,47,3.33,0,1602967270,BW
Olafsvik,64.89,-23.71,46.63399999999999,90,8.45,100,1602967270,IS
Ushumun,52.78,126.53,22.982000000000014,88,4.68,0,1602967270,RU
Tessalit,20.2,1.01,87.62000000000006,14,5.26,0,1602967271,ML
Wernigerode,51.83,10.78,46.99400000000007,96,2.86,73,1602967271,DE
Witu,-2.39,40.44,78.80000000000001,83,2.6,20,1602967271,KE
Ongandjera,-17.88,15.07,79.41200000000006,17,3.67,0,1602967272,NA
Marystown,47.17,-55.15,59.0,100,2.68,100,1602967272,CA
Havre-St-Pierre,50.23,-63.6,48.2,100,7.2,90,1602967272,CA
Bathsheba,13.22,-59.52,84.2,74,4.6,40,1602967273,BB
Līsakovsk,52.54,62.49,38.53399999999999,73,3.52,0,1602967268,KZ
Ban Bung,18.31,100.7,71.00600000000003,84,0.91,100,1602967273,TH
Guane,22.2,-84.09,84.32600000000009,75,4.6,38,1602967273,CU
Nizhniy Baskunchak,48.22,46.83,58.01000000000008,73,4.11,0,1602967274,RU
Sur,22.57,59.53,80.924,39,5.38,100,1602967274,OM
Conde,-7.26,-34.91,80.6,69,6.7,20,1602967274,BR
Fukuechō,32.69,128.84,67.40600000000003,66,7.6,100,1602967181,JP
Iskateley,67.68,53.15,30.722000000000037,94,3.62,95,1602967275,RU
Boundiali,9.52,-6.49,76.55000000000001,77,1.0,1,1602967275,CI
Tam Ky,15.57,108.48,77.0,94,0.5,75,1602967185,VN
Atambua,-9.11,124.89,73.43600000000006,81,0.77,60,1602967276,ID
Ahipara,-35.17,173.17,59.25200000000008,61,2.2,14,1602967276,NZ
Leningradskiy,69.38,178.42,25.970000000000063,90,4.22,0,1602967276,RU
Lebanon,36.21,-86.29,66.99199999999999,23,2.1,1,1602967276,US
Chenghai,23.46,116.77,68.0,88,1.0,39,1602967277,CN
Ayan,56.45,138.17,30.36200000000006,85,5.73,99,1602967277,RU
Yeppoon,-23.13,150.73,59.0,87,1.97,25,1602967277,AU
Coyhaique,-45.58,-72.07,55.400000000000006,62,3.6,75,1602967278,CL
Delvāda,20.77,71.03,81.28399999999999,85,4.99,18,1602967278,IN
Noshiro,40.2,140.02,48.34400000000008,88,2.94,0,1602967278,JP
Vero Beach,27.64,-80.4,84.99199999999999,58,6.2,75,1602967278,US
Praia da Vitória,38.73,-27.07,62.6,63,7.31,20,1602967279,PT
Yulara,-25.24,130.99,66.2,59,5.7,0,1602967279,AU
Onalaska,43.88,-91.24,64.4,34,8.2,1,1602967279,US
Bintulu,3.17,113.03,78.80000000000001,94,3.26,20,1602967090,MY
West Richland,46.3,-119.36,69.00800000000001,34,2.14,1,1602967279,US
Hofn,64.25,-15.21,41.648000000000025,82,2.04,100,1602967280,IS
Saint-Georges,3.9,-51.8,89.6,59,4.6,57,1602967280,GF
Zhigansk,66.77,123.37,12.218000000000085,94,3.57,96,1602967280,RU
Otradnoye,59.78,30.82,39.00200000000008,74,3.0,75,1602967280,RU
Santa Isabel Rio Negro,-0.41,-65.02,89.79800000000003,56,0.96,92,1602967280,BR
Svatove,49.41,38.15,62.63600000000007,64,4.28,88,1602967281,UA
Booué,-0.09,11.94,73.81400000000004,93,0.96,100,1602967281,GA
Nara,15.17,-7.29,94.04600000000005,15,4.16,79,1602967282,ML
Banda Aceh,5.56,95.32,80.33000000000004,73,6.45,100,1602967282,ID
Berdigestyakh,62.1,126.7,16.052000000000078,96,3.29,100,1602967282,RU
Mayo,63.59,-135.9,10.399999999999999,72,1.5,5,1602967283,CA
Moerai,-22.43,-151.33,75.29000000000002,84,7.4,69,1602967283,PF
Gobabis,-22.45,18.97,71.54600000000005,21,5.26,32,1602967284,NA
